"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","cantidad","delito"
"ATLÁNTICO","Soledad","08758000","NO REPORTADO","21/03/2010","MASCULINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR  (CIRCUNSTANC"
"NORTE DE SANTANDER","Pamplona","54518000","NO REPORTADO","27/03/2010","MASCULINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"CUNDINAMARCA","Soacha","25754000","NO REPORTADO","11/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CUNDINAMARCA","Soacha","25754000","NO REPORTADO","28/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CUNDINAMARCA","Soacha","25754000","NO REPORTADO","29/01/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"SUCRE","Sincelejo (CT)","70001000","NO REPORTADO","15/02/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"HUILA","Aipe","41016000","NO REPORTADO","13/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","15/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"HUILA","Neiva (CT)","41001000","NO REPORTADO","16/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"HUILA","Tesalia","41797000","NO REPORTADO","10/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"HUILA","Tesalia","41797000","NO REPORTADO","10/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"SANTANDER","Piedecuesta","68547000","NO REPORTADO","24/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"SANTANDER","Bucaramanga (CT)","68001000","NO REPORTADO","23/02/2010","MASCULINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"SUCRE","Sampués","70670000","NO REPORTADO","06/02/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"VALLE","Cali (CT)","76001000","NO REPORTADO","19/02/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"CAQUETÁ","San José del Fragua","18610000","NO REPORTADO","15/02/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"CUNDINAMARCA","Madrid","25430000","NO REPORTADO","22/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"META","Granada","50313000","NO REPORTADO","01/03/2010","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"HUILA","San Agustín","41668000","NO REPORTADO","01/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
