"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","tipo_de_hurto","cantidad"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","09/09/2013","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"QUINDÍO","Armenia (CT)","63001000","NO REPORTADO","29/01/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Caldas","05129000","NO REPORTADO","18/03/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","10/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","22/10/2013","MASCULINO","MENORES","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"RISARALDA","Pereira (CT)","66001000","NO REPORTADO","13/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Medellín (CT)","05001000","NO REPORTADO","13/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","18/03/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","13/04/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","15/04/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Medellín (CT)","05001000","NO REPORTADO","31/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","27/05/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Salgar","05642000","NO REPORTADO","11/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CAUCA","Santander de Quilichao","19698000","NO REPORTADO","21/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","27/05/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"SANTANDER","Socorro","68755000","NO REPORTADO","22/04/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","28/04/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","23/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","29/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","22/04/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","07/05/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CHOCÓ","Quibdó (CT)","27001000","NO REPORTADO","22/04/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
