fecha_hecho,cod_depto,departamento,cod_muni,municipio,zona,sexo,arma_medio,_modalidad_presunta,spoa_caracterizacion,cantidad,fecha,tipo
2003-01-02T00:00:00.000,5,ANTIOQUIA,5690,SANTO DOMINGO,RURAL,FEMENINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,5,ANTIOQUIA,5736,SEGOVIA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,5,ANTIOQUIA,5761,SOPETRAN,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,8,ATLANTICO,8001,BARRANQUILLA,URBANA,MASCULINO,ARMA DE FUEGO,ATRACO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,11,BOGOTA D.C.,11001,BOGOTA D.C.,URBANA,MASCULINO,ARMA DE FUEGO,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,17,CALDAS,17088,BELALCAZAR,RURAL,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,85,CASANARE,85001,YOPAL,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,19,CAUCA,19473,MORALES,RURAL,FEMENINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,20,CESAR,20750,SAN DIEGO,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,27,CHOCO,27660,SAN JOSE DEL PALMAR,URBANA,MASCULINO,ARMA DE FUEGO,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,23,CORDOBA,23001,MONTERIA,RURAL,MASCULINO,ARMA DE FUEGO,SICARIATO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,25,CUNDINAMARCA,25258,EL PEÑON,RURAL,MASCULINO,ARMA DE FUEGO,ATACADOS POR SUBVERSION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,41,HUILA,41001,NEIVA,URBANA,FEMENINO,CONTUNDENTES,ESTRANGULACION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,44,LA GUAJIRA,44430,MAICAO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,44,LA GUAJIRA,44001,RIOHACHA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,44,LA GUAJIRA,44847,URIBIA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
