departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,cantidad,delito,fecha,tipo
PUTUMAYO,Mocoa (CT),86001000,NO REPORTADO,04/03/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-04-03,denuncia
CESAR,Valledupar (CT),20001000,NO REPORTADO,05/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-05-03,denuncia
NORTE DE SANTANDER,Pamplona,54518000,NO REPORTADO,07/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR  (CIRCUNSTANC,2010-07-01,denuncia
BOYACÁ,Puerto Boyacá,15572007,NO REPORTADO,07/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-07-01,denuncia
BOYACÁ,Puerto Boyacá,15572000,NO REPORTADO,06/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN,2010-06-01,denuncia
SUCRE,Sincelejo (CT),70001000,NO REPORTADO,01/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-01-03,denuncia
VICHADA,Puerto Carreño (CT),99001000,NO REPORTADO,10/03/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-10-03,denuncia
SANTANDER,Girón,68307000,NO REPORTADO,10/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-10-03,denuncia
TOLIMA,Ibagué (CT),73001000,NO REPORTADO,11/02/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-11-02,denuncia
BOLÍVAR,Magangué,13430000,NO REPORTADO,01/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-01-01,denuncia
META,Acacías,50006000,NO REPORTADO,09/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-09-02,denuncia
ANTIOQUIA,Apartadó,5045000,NO REPORTADO,01/03/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 210 A. ACOSO SEXUAL,2010-01-03,denuncia
VALLE,Palmira,76520000,NO REPORTADO,07/03/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-07-03,denuncia
ATLÁNTICO,Sabanagrande,8634000,NO REPORTADO,02/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-02-01,denuncia
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,03/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTO SEXUAL VIOLENTO (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-03-02,denuncia
SUCRE,Sincelejo (CT),70001000,NO REPORTADO,12/01/2010,FEMENINO,MENORES,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-12-01,denuncia
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,05/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-05-01,denuncia
META,Villavicencio (CT),50001000,NO REPORTADO,06/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-06-01,denuncia
CAQUETÁ,El Paujil,18256000,NO REPORTADO,05/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-05-01,denuncia
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,07/03/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),2010-07-03,denuncia
VALLE,Jamundí,76364000,NO REPORTADO,12/02/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-12-02,denuncia
