departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,fecha,tipo
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,08/09/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-08-09,hurto
QUINDÍO,Armenia (CT),63001000,NO REPORTADO,12/11/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-12-11,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,04/11/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-04-11,hurto
QUINDÍO,Calarca,63130000,NO REPORTADO,01/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-01-07,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,05/11/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-05-11,hurto
QUINDÍO,Armenia (CT),63001000,NO REPORTADO,02/11/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-02-11,hurto
QUINDÍO,Armenia (CT),63001000,NO REPORTADO,06/10/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-06-10,hurto
QUINDÍO,Calarca,63130000,NO REPORTADO,02/09/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-02-09,hurto
CÓRDOBA,Chinú,23182000,NO REPORTADO,07/06/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-07-06,hurto
QUINDÍO,Armenia (CT),63001000,NO REPORTADO,05/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-05-07,hurto
ANTIOQUIA,Apartadó,5045000,NO REPORTADO,04/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-04-12,hurto
QUINDÍO,Calarca,63130000,NO REPORTADO,02/06/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-02-06,hurto
CUNDINAMARCA,Zipaquirá,25899000,NO REPORTADO,05/10/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-05-10,hurto
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,12/09/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-12-09,hurto
ANTIOQUIA,Turbo,5837000,NO REPORTADO,03/01/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-03-01,hurto
GUAJIRA,Riohacha (CT),44001000,NO REPORTADO,10/01/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-10-01,hurto
CESAR,Valledupar (CT),20001000,NO REPORTADO,06/11/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-06-11,hurto
QUINDÍO,Armenia (CT),63001000,NO REPORTADO,06/08/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-06-08,hurto
CAUCA,Patía,19532000,NO REPORTADO,10/01/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-10-01,hurto
RISARALDA,Santuario,66687000,NO REPORTADO,06/09/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-06-09,hurto
ATLÁNTICO,Soledad,8758000,NO REPORTADO,04/06/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-04-06,hurto
META,Restrepo,50606000,NO REPORTADO,03/02/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-03-02,hurto
ANTIOQUIA,Turbo,5837000,NO REPORTADO,05/01/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-05-01,hurto
NORTE DE SANTANDER,Los Patios,54405000,NO REPORTADO,03/02/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-03-02,hurto
META,Villavicencio (CT),50001000,NO REPORTADO,08/02/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-08-02,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,12/10/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-12-10,hurto
NARIÑO,San Andres de Tumaco,52835000,NO REPORTADO,09/01/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-09-01,hurto
ANTIOQUIA,Carepa,5147000,NO REPORTADO,07/02/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-07-02,hurto
