departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,FECHA,ANO,MES
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA BLANCA / CORTOPUNZANTE,06/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-06,2024,3
META,VILLAVICENCIO,50001000,ARMA BLANCA / CORTOPUNZANTE,06/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-06,2024,3
ATLÁNTICO,SOLEDAD,08758000,ARMA BLANCA / CORTOPUNZANTE,07/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,2,2024-03-07,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,07/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-07,2024,3
CAUCA,POPAYÁN,19001000,ARMA BLANCA / CORTOPUNZANTE,07/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-07,2024,3
META,VILLAVICENCIO,50001000,ARMA BLANCA / CORTOPUNZANTE,07/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-07,2024,3
NORTE DE SANTANDER,CÚCUTA,54001000,NO REPORTADO,07/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-07,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,08/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-08,2024,3
CUNDINAMARCA,SOACHA,25754000,ARMA BLANCA / CORTOPUNZANTE,08/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-08,2024,3
VALLE,CALI,76001000,ARMA BLANCA / CORTOPUNZANTE,08/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-08,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,09/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,2,2024-03-09,2024,3
HUILA,PITALITO,41551000,ARMA BLANCA / CORTOPUNZANTE,09/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-09,2024,3
HUILA,SUAZA,41770000,ARMA BLANCA / CORTOPUNZANTE,09/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-09,2024,3
NARIÑO,PASTO,52001000,ARMA BLANCA / CORTOPUNZANTE,09/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-09,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,10/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,2,2024-03-10,2024,3
CUNDINAMARCA,FACATATIVÁ,25269000,ARMA BLANCA / CORTOPUNZANTE,10/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-10,2024,3
HUILA,PITALITO,41551000,ARMA BLANCA / CORTOPUNZANTE,10/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-10,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,11/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-11,2024,3
BOLÍVAR,CARTAGENA,13001000,ARMA BLANCA / CORTOPUNZANTE,11/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-11,2024,3
VALLE,BUGALAGRANDE,76113000,ARMA BLANCA / CORTOPUNZANTE,11/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-11,2024,3
VALLE,CALI,76001000,ARMA BLANCA / CORTOPUNZANTE,11/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-11,2024,3
ATLÁNTICO,SOLEDAD,08758000,ARMA BLANCA / CORTOPUNZANTE,12/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-12,2024,3
CUNDINAMARCA,GUADUAS,25320000,ARMA BLANCA / CORTOPUNZANTE,12/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-12,2024,3
SUCRE,SINCELEJO,70001000,NO REPORTADO,12/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-12,2024,3
